Id,SeedId,复投次数,调温最大亮度值,稳定时间,引晶开始CCD亮度值,引晶稳定CCD亮度差值,引晶熔接CCD差值,引晶开始结束CCD差值,引晶后50长拉速,引晶平均拉速,放肩高度,放肩降温量,等径长度
7012,220901181-412,4,58.27,27,49.17,-1.85,-7.39,-0.49,4.67,4.16,142.24,6,1
7013,220901361-511,5,64.68,27,53.41,-2.28,-7.68,0,4.82,4.25,140.52,7.24,1
7014,220901271-511,5,67.73,39,52.61,-2.56,-8.95,0.03,5.4,5.03,123.67,6.72,1
7015,220901311-511,5,61.05,44,47.99,-3.16,-7.6,-0.7,5.1,4.9,140.26,8.52,1
7016,220901371-611,6,63.01,68,49.64,-2.89,-8.06,-0.83,4.8,4.36,151.72,8.55,1
7017,220901281-512,5,66.83,37,56.64,-3.14,-9.12,-0.68,5.06,4.41,128.46,6.82,1
7018,220901112-211,2,57.07,27,47.21,-1.82,-7.39,-0.92,4.5,3.97,143.27,7.53,1
7019,220901103-311,3,57.82,54,47.92,-2.34,-6.88,-0.21,4.57,4.41,130.22,6.53,1
7020,220901061-612,6,58.19,22,48.41,-1.96,-7.06,-0.19,5.08,4.74,127.9,6.52,1
7021,220901041-611,6,64.94,35,56.66,-2.57,-7.98,-3.08,0.47,0.58,146.84,4.75,1
7022,220901262-114,1,63.21,46,54.28,-3.49,-6.92,-0.59,5.83,5.51,125.41,6.52,1
7023,220901431-312,3,63.47,47,52.5,-3.02,-8.83,0.19,5.77,5.17,126.59,6.52,1
7024,220901391-611,6,65.18,52,54.89,-2.7,-9.38,-0.64,5.77,5.15,125.15,6.91,1
7025,220901291-114,1,62.44,25,53.33,-2.31,-7.86,-1.38,5.73,5,126.12,6.8,1
7026,220901191-311,3,53.45,47,44.6,-1.89,-6.84,-0.43,4.6,4.67,128.46,6.88,1
7027,220900982-511,5,61.07,39,52.11,-2.56,-7.64,-0.28,4.29,4.2,126.22,7.03,1
7028,220901001-711,7,62.05,29,50.74,-1.98,-8.61,-0.42,5.31,4.84,138.82,7.5,1
7029,220901161-712,7,60.95,7,51.36,-1.66,-8.29,-1.39,5.68,5.04,127.43,6.7,1
7030,220901331-411,4,62.68,52,53.35,-3.32,-8.37,-0.49,4.44,4.3,128.16,6.83,1
7031,220901401-411,4,65.09,35,55.34,-1.69,-7.89,-0.91,3.89,3.7,129.56,6.74,1
7032,220901022-311,3,57.96,60,50.27,-2.73,-7.11,-0.26,5.43,5.02,138.59,7.5,1
7033,220901132-111,1,60.89,54,52.89,-3.4,-7.96,-0.68,4.41,4.37,127.02,7.05,1
7034,220901201-412,4,64.78,22,53.23,-2.04,-8.13,-0.53,4.82,4.71,126.63,6.83,1
7035,220901321-112,1,61.21,29,50.22,-2.47,-7.43,-0.69,4.97,4.67,130.98,6.61,1
7036,220901341-411,4,67.23,64,57.66,-2.6,-8.3,-0.76,4.94,4.99,130.33,6.98,1
7037,220901121-512,5,57.58,32,47.92,-2.54,-7.99,-0.57,5.36,5.15,157.74,7.51,1
7038,220901051-311,3,59.42,40,48.17,-2.22,-6.83,-0.14,4.9,4.36,129.69,6.51,1
7039,220901253-213,2,51.29,89,43.24,-2.61,-6.65,-0.32,5.35,4.99,143.96,7,1
7040,220901301-113,1,72.47,31,56.76,-2.46,-10.38,-0.37,6.36,5.74,146.82,10.72,1
7041,220901172-212,2,68.64,41,57.4,-2.71,-9.73,-0.32,5.61,5.33,128.23,5.5,1
7042,220901211-411,4,63.98,25,51.98,-1.83,-7.37,-0.58,4.5,4.47,137.34,6,1
7043,220901151-311,3,63.79,72,53.56,-2.61,-7.98,-0.75,5.12,4.64,128.87,6.53,1
7044,220901081-414,4,63.8,16,52.42,-3.56,-8.72,-0.78,5.15,4.76,128.83,7,1
7045,220901031-314,3,86.82,27,70.5,-3.8,-10.75,-0.31,5.43,5.3,132.74,7.53,1
7046,220901071-211,2,64.18,43,49.29,-2.39,-6.87,-0.67,5.32,4.76,126.22,6.01,1
7047,220901381-112,1,80.66,27,69.24,-3.7,-10.27,-1.86,5.73,4.94,139.17,8.5,1
7048,220900972-312,3,73.98,21,64.01,-2.4,-8.06,-1.29,5.68,4.99,125.3,6.53,1
7049,220901001-612,6,59.7,22,50.86,-1.83,-8.45,-0.32,4.96,4.65,140.67,7.51,1
7050,220901391-511,5,67.27,36,55.16,-2.42,-9.71,-0.71,5,4.36,125.36,6.8,1
7051,220901191-212,2,53.46,33,44.61,-1.94,-6.77,-0.41,5.38,4.56,127.08,6.5,1
7052,220901411-511,5,67.42,25,54.3,-2.54,-9.64,-0.86,6.04,5.01,123.26,6.75,1
7053,220901041-511,5,67.97,40,56.58,-2.62,-8.27,-1,5.32,4.94,144.35,8.51,1
7054,220901221-511,5,63.31,44,52.27,-2.32,-8.57,-0.13,3.85,4.25,127.79,6.52,1
7055,220901161-711,7,61.66,33,49.63,-1.83,-7.93,-0.44,5.95,5.3,126.65,6.89,1
7056,220901442-213,2,61.43,39,50.37,-4.36,-9.2,-0.48,5.22,4.64,128.98,6.9,1
7057,220901141-312,3,56.82,42,48.48,-2.81,-7.33,-0.82,5.54,4.77,121.95,6.5,1
7058,220901291-113,1,61.62,24,53.56,-2.14,-7.37,-1.25,5.75,4.64,141.19,6.73,1
7059,220901112-112,1,57.83,19,47.37,-1.62,-7.29,-0.69,4.83,4.79,142.03,7.51,1
7060,220901231-312,3,56.71,22,47.38,-1.89,-7.09,-0.13,4.7,5.07,127.62,6.83,1
7061,220901271-412,4,63.08,30,52.58,-2.6,-9.61,0.09,5.39,5.11,123.41,6.53,1
